Alpine function Stacionary GA con operadores tramposos Por torneo
Iteracion,Tiempo_ms,Sol,Iter_sol,Dimension
7,3370.08,248,5,2.51,18.35,9,30
8,3384.10,310,8,3.06,12.18,5,30
9,3380.99,266,4,2.96,18.18,2,30
10,3347.80,67,3,3.29,16.05,5,30
11,2263.79,266,2,3.49,14.10,6,30
12,3408.70,58,7,5.87,19.85,7,30
13,2246.35,55,4,3.52,18.53,1,30
14,3344.20,134,2,2.05,11.94,6,30
15,3293.19,139,2,3.69,18.34,4,30
16,3368.04,10,0,2.44,14.84,4,30
17,3363.69,132,4,1.30,17.52,1,30
18,3388.16,220,6,5.13,17.07,0,30
19,3390.55,64,3,2.12,12.09,8,30
20,2258.76,400,5,6.88,14.20,3,30
Dixon function Generational GA con operadores tramposos Por torneo
Iteracion,Tiempo_ms,Gen_sol,Iter_gen,Sol_gen,Sol,Iter_sol,Dimension
1,3496.74,82,8,68.41,895.89,4,10
2,2337.23,133,8,73.62,426.42,2,10
3,3534.30,371,8,52.47,1060.70,5,10
4,2414.16,434,7,104.01,447.30,4,10
5,3558.15,274,8,54.04,628.46,6,10
6,2413.58,327,7,43.34,493.70,1,10
7,2373.45,76,2,60.92,539.44,5,10
8,2408.95,315,0,51.69,498.79,9,10
9,2378.02,28,1,87.74,496.65,2,10
10,3616.00,293,7,85.47,459.87,7,10
11,2427.10,477,6,55.53,951.86,4,10
12,2381.24,0,6,36.37,320.97,0,10
13,2420.22,218,8,54.74,764.63,7,10
14,2379.68,164,6,50.42,515.18,0,10
15,3603.63,235,3,53.68,458.77,9,10
16,3583.09,83,0,17.74,140.72,7,10
17,3576.72,184,7,43.58,647.59,8,10
18,3606.09,399,5,42.77,503.16,8,10
19,3611.43,44,6,56.76,903.45,1,10
20,3610.48,210,5,58.63,823.63,8,10
1,3574.94,228,7,76.86,968.51,4,30
2,3566.90,369,6,35.83,1114.12,1,30
3,3550.21,431,8,72.63,783.70,2,30
4,2380.91,372,7,81.85,837.31,2,30
5,2390.05,75,1,81.32,1383.45,0,30
6,3605.67,181,3,51.53,483.38,4,30
7,2424.51,410,1,84.28,1079.58,6,30
8,2361.06,143,3,53.46,1027.55,5,30
9,3579.56,320,5,37.71,692.22,0,30
10,2417.34,453,4,98.41,789.45,2,30
11,2234.87,138,7,41.32,677.80,6,30
12,3564.72,106,4,38.30,1275.19,8,30
13,3566.74,143,5,97.11,1081.75,3,30
14,3467.53,499,6,88.91,255.02,6,30
